ASSESSMENT_UNIT_ID,PARAM_NAME,PARAM_USE_NAME,PARAM_STATUS_NAME,PARAM_ATTAINMENT_CODE,PARAM_TREND,PARAM_COMMENT,PARAM_AGENCY_CODE,PARAM_POLLUTANT_INDICATOR,PARAM_YEAR_LISTED,PARAM_TARGET_TMDL_DATE,PARAM_EXPECTED_TO_ATTAIN,PARAM_PRIORITY_RANKING,PARAM_CONSENT_DECREE_CYCLE,PARAM_ALT_LISTING_ID,PARAM_ORG_QUALIFIER_FLAG,PARAM_DELISTING_REASON,PARAM_DELISTING_COMMENT,PARAM_DELISTING_AGENCY,Cat_5s,Cat_2s,Cat_3s
AK_B_1010204_002,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,PH,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,ENTEROCOCCUS,MARINE / WATER RECREATION / CONTACT RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,PH,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,TURBIDITY,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,FECAL COLIFORM,MARINE / WATER RECREATION / SECONDARY RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,PH,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,TURBIDITY,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,FECAL COLIFORM,MARINE / WATER SUPPLY / AQUACULTURE,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,FECAL COLIFORM,MARINE / WATER SUPPLY / INDUSTRIAL,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,FECAL COLIFORM,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,PH,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,PH,MARINE / WATER SUPPLY / INDUSTRIAL,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,PH,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_002,TURBIDITY,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_003,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Cause,Not meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,PH,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,ENTEROCOCCUS,MARINE / WATER RECREATION / CONTACT RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,PH,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,TURBIDITY,MARINE / WATER RECREATION / CONTACT RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,FECAL COLIFORM,MARINE / WATER RECREATION / SECONDARY RECREATION,Cause,Meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,PH,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,TURBIDITY,MARINE / WATER RECREATION / SECONDARY RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,FECAL COLIFORM,MARINE / WATER SUPPLY / AQUACULTURE,Cause,Not meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,FECAL COLIFORM,MARINE / WATER SUPPLY / INDUSTRIAL,Cause,Meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,FECAL COLIFORM,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Cause,Not meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,PH,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,PH,MARINE / WATER SUPPLY / INDUSTRIAL,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,PH,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_003,TURBIDITY,MARINE / WATER SUPPLY / AQUACULTURE,Cause,Not meeting criteria,,,,,,,,,,,,,,,9,0,0
AK_B_1010204_004,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,PH,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,ENTEROCOCCUS,MARINE / WATER RECREATION / CONTACT RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,PH,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,TURBIDITY,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,FECAL COLIFORM,MARINE / WATER RECREATION / SECONDARY RECREATION,Cause,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,PH,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,TURBIDITY,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,FECAL COLIFORM,MARINE / WATER SUPPLY / AQUACULTURE,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,FECAL COLIFORM,MARINE / WATER SUPPLY / INDUSTRIAL,Cause,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,FECAL COLIFORM,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,PH,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,PH,MARINE / WATER SUPPLY / INDUSTRIAL,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,PH,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_004,TURBIDITY,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,PH,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,ENTEROCOCCUS,MARINE / WATER RECREATION / CONTACT RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,PH,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,TURBIDITY,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,FECAL COLIFORM,MARINE / WATER RECREATION / SECONDARY RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,PH,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,TURBIDITY,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,FECAL COLIFORM,MARINE / WATER SUPPLY / AQUACULTURE,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,FECAL COLIFORM,MARINE / WATER SUPPLY / INDUSTRIAL,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,FECAL COLIFORM,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,PH,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,PH,MARINE / WATER SUPPLY / INDUSTRIAL,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,PH,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_005,TURBIDITY,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,PH,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,ENTEROCOCCUS,MARINE / WATER RECREATION / CONTACT RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,PH,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,TURBIDITY,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,FECAL COLIFORM,MARINE / WATER RECREATION / SECONDARY RECREATION,Cause,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,PH,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,TURBIDITY,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,FECAL COLIFORM,MARINE / WATER SUPPLY / AQUACULTURE,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,FECAL COLIFORM,MARINE / WATER SUPPLY / INDUSTRIAL,Cause,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,FECAL COLIFORM,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,PH,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,PH,MARINE / WATER SUPPLY / INDUSTRIAL,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,PH,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_006,TURBIDITY,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,PH,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,ENTEROCOCCUS,MARINE / WATER RECREATION / CONTACT RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,PH,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,TURBIDITY,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,FECAL COLIFORM,MARINE / WATER RECREATION / SECONDARY RECREATION,Cause,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,PH,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,TURBIDITY,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,FECAL COLIFORM,MARINE / WATER SUPPLY / AQUACULTURE,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,FECAL COLIFORM,MARINE / WATER SUPPLY / INDUSTRIAL,Cause,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,FECAL COLIFORM,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,PH,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,PH,MARINE / WATER SUPPLY / INDUSTRIAL,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,PH,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_007,TURBIDITY,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,PH,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,ENTEROCOCCUS,MARINE / WATER RECREATION / CONTACT RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,PH,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,TURBIDITY,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,FECAL COLIFORM,MARINE / WATER RECREATION / SECONDARY RECREATION,Cause,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,PH,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,TURBIDITY,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,FECAL COLIFORM,MARINE / WATER SUPPLY / AQUACULTURE,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,FECAL COLIFORM,MARINE / WATER SUPPLY / INDUSTRIAL,Cause,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,FECAL COLIFORM,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,PH,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,PH,MARINE / WATER SUPPLY / INDUSTRIAL,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,PH,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010204_008,TURBIDITY,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,PH,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,ENTEROCOCCUS,MARINE / WATER RECREATION / CONTACT RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,PH,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,TURBIDITY,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,FECAL COLIFORM,MARINE / WATER RECREATION / SECONDARY RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,PH,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,TURBIDITY,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,FECAL COLIFORM,MARINE / WATER SUPPLY / AQUACULTURE,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,FECAL COLIFORM,MARINE / WATER SUPPLY / INDUSTRIAL,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,FECAL COLIFORM,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,PH,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,PH,MARINE / WATER SUPPLY / INDUSTRIAL,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,PH,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010205_001,TURBIDITY,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010208_001,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010208_001,PH,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010208_001,ENTEROCOCCUS,MARINE / WATER RECREATION / CONTACT RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010208_001,PH,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010208_001,TURBIDITY,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010208_001,FECAL COLIFORM,MARINE / WATER RECREATION / SECONDARY RECREATION,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010208_001,PH,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010208_001,TURBIDITY,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,6,0,0
AK_B_1010208_001,FECAL COLIFORM,MARINE / WATER SUPPLY / AQUACULTURE,Cause,Not meeting criteria,,,,,,,,,,,,,,,6,0,0
